"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/rewards/combined_reward/mean","qwen3vl_rl - train/rewards/combined_reward/mean__MIN","qwen3vl_rl - train/rewards/combined_reward/mean__MAX"
"1","4","4","4","-0.10000000149011612","-0.10000000149011612","-0.10000000149011612"
"2","9","9","9","0.05166666582226753","0.05166666582226753","0.05166666582226753"
"3","14","14","14","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"4","19","19","19","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"5","24","24","24","-0.20000000298023224","-0.20000000298023224","-0.20000000298023224"
"6","29","29","29","0.016718266531825066","0.016718266531825066","0.016718266531825066"
"7","34","34","34","0.02812499925494194","0.02812499925494194","0.02812499925494194"
"8","39","39","39","0.07556221634149551","0.07556221634149551","0.07556221634149551"
"9","44","44","44","0.014999999664723873","0.014999999664723873","0.014999999664723873"
"10","49","49","49","0.5","0.5","0.5"
"11","54","54","54","0.06667279452085495","0.06667279452085495","0.06667279452085495"
"12","59","59","59","0.05812499672174454","0.05812499672174454","0.05812499672174454"
"13","64","64","64","0.07941608130931854","0.07941608130931854","0.07941608130931854"
"14","69","69","69","0.2730769217014313","0.2730769217014313","0.2730769217014313"
"15","74","74","74","0.034090910106897354","0.034090910106897354","0.034090910106897354"
"16","79","79","79","0.0223214291036129","0.0223214291036129","0.0223214291036129"
"17","84","84","84","0.08405769616365433","0.08405769616365433","0.08405769616365433"
"18","89","89","89","-0.07811671495437622","-0.07811671495437622","-0.07811671495437622"
"19","94","94","94","-0.07053571939468384","-0.07053571939468384","-0.07053571939468384"
"20","99","99","99","0.5","0.5","0.5"
"21","104","104","104","0.03691176325082779","0.03691176325082779","0.03691176325082779"
"22","109","109","109","0.008134921081364155","0.008134921081364155","0.008134921081364155"
"23","114","114","114","0.048076923936605453","0.048076923936605453","0.048076923936605453"
"24","119","119","119","0.01458333432674408","0.01458333432674408","0.01458333432674408"
"25","124","124","124","0.699999988079071","0.699999988079071","0.699999988079071"
"26","129","129","129","0.02732919156551361","0.02732919156551361","0.02732919156551361"
"27","134","134","134","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"28","139","139","139","0.053418971598148346","0.053418971598148346","0.053418971598148346"
"29","144","144","144","0.21071429550647736","0.21071429550647736","0.21071429550647736"
"30","149","149","149","0.03750000149011612","0.03750000149011612","0.03750000149011612"
"31","154","154","154","0.04778846353292465","0.04778846353292465","0.04778846353292465"
"32","159","159","159","0.23000000417232513","0.23000000417232513","0.23000000417232513"
"33","164","164","164","-0.0833333358168602","-0.0833333358168602","-0.0833333358168602"
"34","169","169","169","-0.06359649449586868","-0.06359649449586868","-0.06359649449586868"
"35","174","174","174","0.5","0.5","0.5"
"36","179","179","179","0.5337499976158142","0.5337499976158142","0.5337499976158142"
"37","184","184","184","0","0","0"
"38","189","189","189","0","0","0"
"39","194","194","194","0.056470587849617004","0.056470587849617004","0.056470587849617004"
"40","199","199","199","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"41","204","204","204","0","0","0"
"42","209","209","209","-0.20000000298023224","-0.20000000298023224","-0.20000000298023224"
"43","214","214","214","0.550000011920929","0.550000011920929","0.550000011920929"
"44","219","219","219","0.002884615445509553","0.002884615445509553","0.002884615445509553"
"45","224","224","224","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"46","229","229","229","0.026999998837709427","0.026999998837709427","0.026999998837709427"
"47","234","234","234","0.006818181835114956","0.006818181835114956","0.006818181835114956"
"48","239","239","239","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"49","244","244","244","0.0865478515625","0.0865478515625","0.0865478515625"
"50","249","249","249","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"51","254","254","254","0.0684065967798233","0.0684065967798233","0.0684065967798233"
"52","259","259","259","-0.09285713732242584","-0.09285713732242584","-0.09285713732242584"
"53","264","264","264","0.052941177040338516","0.052941177040338516","0.052941177040338516"
"54","269","269","269","0.5330356955528259","0.5330356955528259","0.5330356955528259"
"55","274","274","274","0.06923077255487442","0.06923077255487442","0.06923077255487442"
"56","279","279","279","0.5136363506317139","0.5136363506317139","0.5136363506317139"
"57","284","284","284","0.012500000186264515","0.012500000186264515","0.012500000186264515"
"58","289","289","289","0.012500000186264515","0.012500000186264515","0.012500000186264515"
"59","294","294","294","0.1164705902338028","0.1164705902338028","0.1164705902338028"
"60","299","299","299","0.02222222276031971","0.02222222276031971","0.02222222276031971"
"61","304","304","304","0.02071428671479225","0.02071428671479225","0.02071428671479225"
"62","309","309","309","0.023235294967889786","0.023235294967889786","0.023235294967889786"
"63","314","314","314","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"64","319","319","319","-0.07692307978868484","-0.07692307978868484","-0.07692307978868484"
"65","324","324","324","0.0350649356842041","0.0350649356842041","0.0350649356842041"
"66","329","329","329","0.06599439680576324","0.06599439680576324","0.06599439680576324"
"67","334","334","334","0.028928572311997414","0.028928572311997414","0.028928572311997414"
"68","339","339","339","0.5137500166893005","0.5137500166893005","0.5137500166893005"
"69","344","344","344","-0.0625","-0.0625","-0.0625"
"70","349","349","349","-0.07115384936332703","-0.07115384936332703","-0.07115384936332703"
"71","354","354","354","0.012000000104308128","0.012000000104308128","0.012000000104308128"
"72","359","359","359","1","1","1"
"73","364","364","364","0.03461538627743721","0.03461538627743721","0.03461538627743721"
"74","369","369","369","0.043013785034418106","0.043013785034418106","0.043013785034418106"
"75","374","374","374","0.23107142746448517","0.23107142746448517","0.23107142746448517"
"76","379","379","379","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"77","384","384","384","0.0864705890417099","0.0864705890417099","0.0864705890417099"
"78","389","389","389","-0.08676470816135406","-0.08676470816135406","-0.08676470816135406"
"79","394","394","394","0.5200892686843872","0.5200892686843872","0.5200892686843872"
"80","399","399","399","0.5","0.5","0.5"
"81","404","404","404","0","0","0"
"82","409","409","409","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"83","414","414","414","0.01770833507180214","0.01770833507180214","0.01770833507180214"
"84","419","419","419","0.02142857201397419","0.02142857201397419","0.02142857201397419"
"85","424","424","424","0.04273809492588043","0.04273809492588043","0.04273809492588043"
"86","429","429","429","0.5299999713897705","0.5299999713897705","0.5299999713897705"
"87","434","434","434","0.012500000186264515","0.012500000186264515","0.012500000186264515"
"88","439","439","439","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"89","444","444","444","0.5339285731315613","0.5339285731315613","0.5339285731315613"
"90","449","449","449","-0.08208556473255157","-0.08208556473255157","-0.08208556473255157"
"91","454","454","454","0.058125000447034836","0.058125000447034836","0.058125000447034836"
"92","459","459","459","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"93","464","464","464","0.24090909957885742","0.24090909957885742","0.24090909957885742"
"94","469","469","469","0","0","0"
"95","474","474","474","-0.08096154034137726","-0.08096154034137726","-0.08096154034137726"
"96","479","479","479","0.0625","0.0625","0.0625"
"97","484","484","484","0.057913534343242645","0.057913534343242645","0.057913534343242645"
"98","489","489","489","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"99","494","494","494","-0.0833333358168602","-0.0833333358168602","-0.0833333358168602"
"100","499","499","499","0","0","0"
"101","504","504","504","0.5333498120307922","0.5333498120307922","0.5333498120307922"
"102","509","509","509","0.25","0.25","0.25"
"103","514","514","514","0.05382518470287323","0.05382518470287323","0.05382518470287323"
"104","519","519","519","0.021321069449186325","0.021321069449186325","0.021321069449186325"
"105","524","524","524","0.518750011920929","0.518750011920929","0.518750011920929"
"106","529","529","529","0.04781249910593033","0.04781249910593033","0.04781249910593033"
"107","534","534","534","-0.08224137872457504","-0.08224137872457504","-0.08224137872457504"
"108","539","539","539","0.2321428656578064","0.2321428656578064","0.2321428656578064"
"109","544","544","544","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"110","549","549","549","0.022252747789025307","0.022252747789025307","0.022252747789025307"
"111","554","554","554","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"112","559","559","559","0.5","0.5","0.5"
"113","564","564","564","0.10285714268684387","0.10285714268684387","0.10285714268684387"
"114","569","569","569","0.02142857201397419","0.02142857201397419","0.02142857201397419"
"115","574","574","574","0.5303283333778381","0.5303283333778381","0.5303283333778381"
"116","579","579","579","0.025765549391508102","0.025765549391508102","0.025765549391508102"
"117","584","584","584","0.03244047611951828","0.03244047611951828","0.03244047611951828"
"118","589","589","589","0.03852774202823639","0.03852774202823639","0.03852774202823639"
"119","594","594","594","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"120","599","599","599","0.21406249701976776","0.21406249701976776","0.21406249701976776"
"121","604","604","604","0","0","0"
"122","609","609","609","0.27927806973457336","0.27927806973457336","0.27927806973457336"
