"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/loss","qwen3vl_rl - train/loss__MIN","qwen3vl_rl - train/loss__MAX"
"1","4","4","4","0","0","0"
"2","9","9","9","0.0011","0.0011","0.0011"
"3","14","14","14","0","0","0"
"4","19","19","19","0","0","0"
"5","24","24","24","0","0","0"
"6","29","29","29","0.0004","0.0004","0.0004"
"7","34","34","34","0","0","0"
"8","39","39","39","0.0001","0.0001","0.0001"
"9","44","44","44","0.0069","0.0069","0.0069"
"10","49","49","49","0","0","0"
"11","54","54","54","0.0007","0.0007","0.0007"
"12","59","59","59","0","0","0"
"13","64","64","64","-0.0044","-0.0044","-0.0044"
"14","69","69","69","0","0","0"
"15","74","74","74","0.0004","0.0004","0.0004"
"16","79","79","79","-0.0017","-0.0017","-0.0017"
"17","84","84","84","0.0004","0.0004","0.0004"
"18","89","89","89","0.0011","0.0011","0.0011"
"19","94","94","94","-0.0051","-0.0051","-0.0051"
"20","99","99","99","0","0","0"
"21","104","104","104","0.0028","0.0028","0.0028"
"22","109","109","109","-0.0007","-0.0007","-0.0007"
"23","114","114","114","-0.0013","-0.0013","-0.0013"
"24","119","119","119","0.0014","0.0014","0.0014"
"25","124","124","124","0","0","0"
"26","129","129","129","0.0007","0.0007","0.0007"
"27","134","134","134","0","0","0"
"28","139","139","139","0.0004","0.0004","0.0004"
"29","144","144","144","0","0","0"
"30","149","149","149","0","0","0"
"31","154","154","154","-0.0003","-0.0003","-0.0003"
"32","159","159","159","0","0","0"
"33","164","164","164","-0.001","-0.001","-0.001"
"34","169","169","169","0","0","0"
"35","174","174","174","0.0042","0.0042","0.0042"
"36","179","179","179","0.0011","0.0011","0.0011"
"37","184","184","184","0","0","0"
"38","189","189","189","0","0","0"
"39","194","194","194","0.0017","0.0017","0.0017"
"40","199","199","199","-0.0027","-0.0027","-0.0027"
"41","204","204","204","0","0","0"
"42","209","209","209","0","0","0"
"43","214","214","214","0","0","0"
"44","219","219","219","-0.003","-0.003","-0.003"
"45","224","224","224","0","0","0"
"46","229","229","229","0.0004","0.0004","0.0004"
"47","234","234","234","0.0018","0.0018","0.0018"
"48","239","239","239","0","0","0"
"49","244","244","244","0.0052","0.0052","0.0052"
"50","249","249","249","0","0","0"
"51","254","254","254","0","0","0"
"52","259","259","259","0","0","0"
"53","264","264","264","0","0","0"
"54","269","269","269","-0.001","-0.001","-0.001"
"55","274","274","274","-0.002","-0.002","-0.002"
"56","279","279","279","-0.0003","-0.0003","-0.0003"
"57","284","284","284","-0.0013","-0.0013","-0.0013"
"58","289","289","289","0.0011","0.0011","0.0011"
"59","294","294","294","0.0017","0.0017","0.0017"
"60","299","299","299","0","0","0"
"61","304","304","304","-0.0024","-0.0024","-0.0024"
"62","309","309","309","0.0004","0.0004","0.0004"
"63","314","314","314","0","0","0"
"64","319","319","319","-0.0013","-0.0013","-0.0013"
"65","324","324","324","0.0028","0.0028","0.0028"
"66","329","329","329","0.0038","0.0038","0.0038"
"67","334","334","334","-0.0041","-0.0041","-0.0041"
"68","339","339","339","0.0007","0.0007","0.0007"
"69","344","344","344","0","0","0"
"70","349","349","349","-0.0006","-0.0006","-0.0006"
"71","354","354","354","-0.0013","-0.0013","-0.0013"
"72","359","359","359","0","0","0"
"73","364","364","364","0","0","0"
"74","369","369","369","0.0004","0.0004","0.0004"
"75","374","374","374","0","0","0"
"76","379","379","379","0","0","0"
"77","384","384","384","0.0017","0.0017","0.0017"
"78","389","389","389","-0.0003","-0.0003","-0.0003"
"79","394","394","394","0.0007","0.0007","0.0007"
"80","399","399","399","0","0","0"
"81","404","404","404","0","0","0"
"82","409","409","409","0","0","0"
"83","414","414","414","-0.0058","-0.0058","-0.0058"
"84","419","419","419","0.0028","0.0028","0.0028"
"85","424","424","424","0.0011","0.0011","0.0011"
"86","429","429","429","0","0","0"
"87","434","434","434","0","0","0"
"88","439","439","439","0","0","0"
"89","444","444","444","-0.0007","-0.0007","-0.0007"
"90","449","449","449","0","0","0"
"91","454","454","454","-0.0065","-0.0065","-0.0065"
"92","459","459","459","0","0","0"
"93","464","464","464","0","0","0"
"94","469","469","469","0","0","0"
"95","474","474","474","-0.0013","-0.0013","-0.0013"
"96","479","479","479","0","0","0"
"97","484","484","484","0.0052","0.0052","0.0052"
"98","489","489","489","0","0","0"
"99","494","494","494","0.0028","0.0028","0.0028"
"100","499","499","499","0","0","0"
"101","504","504","504","0","0","0"
"102","509","509","509","0","0","0"
"103","514","514","514","0.0018","0.0018","0.0018"
"104","519","519","519","-0.0006","-0.0006","-0.0006"
"105","524","524","524","0.0004","0.0004","0.0004"
"106","529","529","529","0.0021","0.0021","0.0021"
"107","534","534","534","-0.0003","-0.0003","-0.0003"
"108","539","539","539","0","0","0"
"109","544","544","544","0","0","0"
"110","549","549","549","0.002","0.002","0.002"
"111","554","554","554","0","0","0"
"112","559","559","559","0","0","0"
"113","564","564","564","0","0","0"
"114","569","569","569","0","0","0"
"115","574","574","574","-0.0007","-0.0007","-0.0007"
"116","579","579","579","-0.0003","-0.0003","-0.0003"
"117","584","584","584","0.0045","0.0045","0.0045"
"118","589","589","589","-0.0003","-0.0003","-0.0003"
"119","594","594","594","0","0","0"
"120","599","599","599","-0.002","-0.002","-0.002"
"121","604","604","604","0","0","0"
