"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/num_tokens","qwen3vl_rl - train/num_tokens__MIN","qwen3vl_rl - train/num_tokens__MAX"
"1","4","4","4","7341","7341","7341"
"2","9","9","9","9802","9802","9802"
"3","14","14","14","26502","26502","26502"
"4","19","19","19","40802","40802","40802"
"5","24","24","24","55196","55196","55196"
"6","29","29","29","57107","57107","57107"
"7","34","34","34","74333","74333","74333"
"8","39","39","39","76755","76755","76755"
"9","44","44","44","97127","97127","97127"
"10","49","49","49","120747","120747","120747"
"11","54","54","54","122949","122949","122949"
"12","59","59","59","139439","139439","139439"
"13","64","64","64","141664","141664","141664"
"14","69","69","69","149982","149982","149982"
"15","74","74","74","152483","152483","152483"
"16","79","79","79","170786","170786","170786"
"17","84","84","84","173167","173167","173167"
"18","89","89","89","180466","180466","180466"
"19","94","94","94","186921","186921","186921"
"20","99","99","99","193360","193360","193360"
"21","104","104","104","195550","195550","195550"
"22","109","109","109","214942","214942","214942"
"23","114","114","114","234230","234230","234230"
"24","119","119","119","236483","236483","236483"
"25","124","124","124","247241","247241","247241"
"26","129","129","129","249156","249156","249156"
"27","134","134","134","263144","263144","263144"
"28","139","139","139","281793","281793","281793"
"29","144","144","144","288227","288227","288227"
"30","149","149","149","303793","303793","303793"
"31","154","154","154","329042","329042","329042"
"32","159","159","159","345390","345390","345390"
"33","164","164","164","352389","352389","352389"
"34","169","169","169","360487","360487","360487"
"35","174","174","174","375823","375823","375823"
"36","179","179","179","383054","383054","383054"
"37","184","184","184","399437","399437","399437"
"38","189","189","189","401336","401336","401336"
"39","194","194","194","420449","420449","420449"
"40","199","199","199","436477","436477","436477"
"41","204","204","204","438294","438294","438294"
"42","209","209","209","452594","452594","452594"
"43","214","214","214","459874","459874","459874"
"44","219","219","219","461867","461867","461867"
"45","224","224","224","484150","484150","484150"
"46","229","229","229","503811","503811","503811"
"47","234","234","234","522500","522500","522500"
"48","239","239","239","524425","524425","524425"
"49","244","244","244","526266","526266","526266"
"50","249","249","249","533098","533098","533098"
"51","254","254","254","535032","535032","535032"
"52","259","259","259","558706","558706","558706"
"53","264","264","264","560568","560568","560568"
"54","269","269","269","569787","569787","569787"
"55","274","274","274","572019","572019","572019"
"56","279","279","279","578528","578528","578528"
"57","284","284","284","594510","594510","594510"
"58","289","289","289","596453","596453","596453"
"59","294","294","294","598398","598398","598398"
"60","299","299","299","611775","611775","611775"
"61","304","304","304","614186","614186","614186"
"62","309","309","309","616431","616431","616431"
"63","314","314","314","640445","640445","640445"
"64","319","319","319","662579","662579","662579"
"65","324","324","324","664573","664573","664573"
"66","329","329","329","666404","666404","666404"
"67","334","334","334","684386","684386","684386"
"68","339","339","339","693810","693810","693810"
"69","344","344","344","703084","703084","703084"
"70","349","349","349","712286","712286","712286"
"71","354","354","354","714211","714211","714211"
"72","359","359","359","725677","725677","725677"
"73","364","364","364","740927","740927","740927"
"74","369","369","369","743056","743056","743056"
"75","374","374","374","750356","750356","750356"
"76","379","379","379","752514","752514","752514"
"77","384","384","384","768903","768903","768903"
"78","389","389","389","778204","778204","778204"
"79","394","394","394","784714","784714","784714"
"80","399","399","399","794148","794148","794148"
"81","404","404","404","796082","796082","796082"
"82","409","409","409","797636","797636","797636"
"83","414","414","414","812339","812339","812339"
"84","419","419","419","828701","828701","828701"
"85","424","424","424","830910","830910","830910"
"86","429","429","429","855166","855166","855166"
"87","434","434","434","857080","857080","857080"
"88","439","439","439","873793","873793","873793"
"89","444","444","444","882993","882993","882993"
"90","449","449","449","892211","892211","892211"
"91","454","454","454","908612","908612","908612"
"92","459","459","459","922146","922146","922146"
"93","464","464","464","931344","931344","931344"
"94","469","469","469","932964","932964","932964"
"95","474","474","474","942214","942214","942214"
"96","479","479","479","944532","944532","944532"
"97","484","484","484","976167","976167","976167"
"98","489","489","489","982336","982336","982336"
"99","494","494","494","988508","988508","988508"
"100","499","499","499","1001432","1001432","1001432"
"101","504","504","504","1008664","1008664","1008664"
"102","509","509","509","1024818","1024818","1024818"
"103","514","514","514","1026725","1026725","1026725"
"104","519","519","519","1029227","1029227","1029227"
"105","524","524","524","1038442","1038442","1038442"
"106","529","529","529","1040962","1040962","1040962"
"107","534","534","534","1050249","1050249","1050249"
"108","539","539","539","1056625","1056625","1056625"
"109","544","544","544","1090143","1090143","1090143"
"110","549","549","549","1101687","1101687","1101687"
"111","554","554","554","1113699","1113699","1113699"
"112","559","559","559","1134487","1134487","1134487"
"113","564","564","564","1136065","1136065","1136065"
"114","569","569","569","1137974","1137974","1137974"
"115","574","574","574","1147276","1147276","1147276"
"116","579","579","579","1149723","1149723","1149723"
"117","584","584","584","1168040","1168040","1168040"
"118","589","589","589","1170181","1170181","1170181"
"119","594","594","594","1202741","1202741","1202741"
"120","599","599","599","1209943","1209943","1209943"
"121","604","604","604","1212095","1212095","1212095"
"122","609","609","609","1221277","1221277","1221277"
"123","614","614","614","1223440","1223440","1223440"
"124","619","619","619","1236399","1236399","1236399"
"125","624","624","624","1238607","1238607","1238607"
"126","629","629","629","1240896","1240896","1240896"
"127","634","634","634","1242801","1242801","1242801"
"128","639","639","639","1252024","1252024","1252024"
"129","644","644","644","1260909","1260909","1260909"
"130","649","649","649","1263453","1263453","1263453"
"131","654","654","654","1272655","1272655","1272655"
"132","659","659","659","1297411","1297411","1297411"
"133","664","664","664","1324063","1324063","1324063"
"134","669","669","669","1333603","1333603","1333603"
"135","674","674","674","1343038","1343038","1343038"
"136","679","679","679","1358304","1358304","1358304"
"137","684","684","684","1374370","1374370","1374370"
"138","689","689","689","1376300","1376300","1376300"
"139","694","694","694","1383262","1383262","1383262"
"140","699","699","699","1385122","1385122","1385122"
"141","704","704","704","1394378","1394378","1394378"
"142","709","709","709","1413924","1413924","1413924"
"143","714","714","714","1423038","1423038","1423038"
"144","719","719","719","1437094","1437094","1437094"
"145","724","724","724","1444218","1444218","1444218"
"146","729","729","729","1450385","1450385","1450385"
"147","734","734","734","1452647","1452647","1452647"
"148","739","739","739","1454693","1454693","1454693"
"149","744","744","744","1461768","1461768","1461768"
"150","749","749","749","1464256","1464256","1464256"
"151","754","754","754","1482142","1482142","1482142"
"152","759","759","759","1484635","1484635","1484635"
"153","764","764","764","1493721","1493721","1493721"
"154","769","769","769","1502716","1502716","1502716"
"155","774","774","774","1528379","1528379","1528379"
"156","779","779","779","1534975","1534975","1534975"
"157","784","784","784","1558528","1558528","1558528"
"158","789","789","789","1581023","1581023","1581023"
"159","794","794","794","1589947","1589947","1589947"
"160","799","799","799","1592552","1592552","1592552"
"161","804","804","804","1594157","1594157","1594157"
"162","809","809","809","1612506","1612506","1612506"
"163","814","814","814","1619957","1619957","1619957"
"164","819","819","819","1621548","1621548","1621548"
"165","824","824","824","1639694","1639694","1639694"
"166","829","829","829","1641554","1641554","1641554"
"167","834","834","834","1643482","1643482","1643482"
"168","839","839","839","1649875","1649875","1649875"
"169","844","844","844","1652113","1652113","1652113"
"170","849","849","849","1661280","1661280","1661280"
"171","854","854","854","1670246","1670246","1670246"
"172","859","859","859","1672569","1672569","1672569"
"173","864","864","864","1679011","1679011","1679011"
"174","869","869","869","1688515","1688515","1688515"
"175","874","874","874","1713581","1713581","1713581"
"176","879","879","879","1727007","1727007","1727007"
"177","884","884","884","1745869","1745869","1745869"
"178","889","889","889","1765347","1765347","1765347"
"179","894","894","894","1771657","1771657","1771657"
"180","899","899","899","1773936","1773936","1773936"
"181","904","904","904","1781016","1781016","1781016"
"182","909","909","909","1790382","1790382","1790382"
"183","914","914","914","1796835","1796835","1796835"
"184","919","919","919","1804127","1804127","1804127"
"185","924","924","924","1815958","1815958","1815958"
"186","929","929","929","1825248","1825248","1825248"
"187","934","934","934","1850008","1850008","1850008"
"188","939","939","939","1859329","1859329","1859329"
"189","944","944","944","1870829","1870829","1870829"
"190","949","949","949","1881535","1881535","1881535"
"191","954","954","954","1900803","1900803","1900803"
"192","959","959","959","1903246","1903246","1903246"
"193","964","964","964","1912168","1912168","1912168"
"194","969","969","969","1935481","1935481","1935481"
"195","974","974","974","1954181","1954181","1954181"
"196","979","979","979","1963427","1963427","1963427"
"197","984","984","984","1972320","1972320","1972320"
"198","989","989","989","1987991","1987991","1987991"
"199","994","994","994","2008115","2008115","2008115"
"200","999","999","999","2030691","2030691","2030691"
"201","1004","1004","1004","2032993","2032993","2032993"
"202","1009","1009","1009","2055249","2055249","2055249"
"203","1014","1014","1014","2063220","2063220","2063220"
"204","1019","1019","1019","2089346","2089346","2089346"
"205","1024","1024","1024","2118434","2118434","2118434"
"206","1029","1029","1029","2125352","2125352","2125352"
"207","1034","1034","1034","2127506","2127506","2127506"
"208","1039","1039","1039","2150190","2150190","2150190"
"209","1044","1044","1044","2152272","2152272","2152272"
"210","1049","1049","1049","2154777","2154777","2154777"
"211","1054","1054","1054","2156661","2156661","2156661"
"212","1059","1059","1059","2158552","2158552","2158552"
"213","1064","1064","1064","2167815","2167815","2167815"
"214","1069","1069","1069","2169939","2169939","2169939"
"215","1074","1074","1074","2186973","2186973","2186973"
"216","1079","1079","1079","2189271","2189271","2189271"
"217","1084","1084","1084","2197601","2197601","2197601"
"218","1089","1089","1089","2214007","2214007","2214007"
"219","1094","1094","1094","2228818","2228818","2228818"
"220","1099","1099","1099","2230731","2230731","2230731"
"221","1104","1104","1104","2240885","2240885","2240885"
"222","1109","1109","1109","2257585","2257585","2257585"
"223","1114","1114","1114","2275019","2275019","2275019"
"224","1119","1119","1119","2282547","2282547","2282547"
"225","1124","1124","1124","2291575","2291575","2291575"
"226","1129","1129","1129","2305647","2305647","2305647"
"227","1134","1134","1134","2339568","2339568","2339568"
"228","1139","1139","1139","2372298","2372298","2372298"
"229","1144","1144","1144","2379598","2379598","2379598"
"230","1149","1149","1149","2381869","2381869","2381869"
"231","1154","1154","1154","2383579","2383579","2383579"
"232","1159","1159","1159","2390051","2390051","2390051"
"233","1164","1164","1164","2404390","2404390","2404390"
"234","1169","1169","1169","2406321","2406321","2406321"
"235","1174","1174","1174","2408794","2408794","2408794"
"236","1179","1179","1179","2425311","2425311","2425311"
"237","1184","1184","1184","2433269","2433269","2433269"
"238","1189","1189","1189","2435223","2435223","2435223"
"239","1194","1194","1194","2451401","2451401","2451401"
"240","1199","1199","1199","2453342","2453342","2453342"
"241","1204","1204","1204","2462601","2462601","2462601"
"242","1209","1209","1209","2464679","2464679","2464679"
"243","1214","1214","1214","2474053","2474053","2474053"
"244","1219","1219","1219","2480185","2480185","2480185"
"245","1224","1224","1224","2482260","2482260","2482260"
"246","1229","1229","1229","2505537","2505537","2505537"
"247","1234","1234","1234","2524061","2524061","2524061"
"248","1239","1239","1239","2526369","2526369","2526369"
"249","1244","1244","1244","2528607","2528607","2528607"
"250","1249","1249","1249","2531105","2531105","2531105"
"251","1254","1254","1254","2539099","2539099","2539099"
"252","1259","1259","1259","2554863","2554863","2554863"
"253","1264","1264","1264","2567427","2567427","2567427"
"254","1269","1269","1269","2569333","2569333","2569333"
"255","1274","1274","1274","2571263","2571263","2571263"
"256","1279","1279","1279","2573649","2573649","2573649"
"257","1284","1284","1284","2580056","2580056","2580056"
"258","1289","1289","1289","2581999","2581999","2581999"
"259","1294","1294","1294","2590279","2590279","2590279"
"260","1299","1299","1299","2592527","2592527","2592527"
"261","1304","1304","1304","2599833","2599833","2599833"
"262","1309","1309","1309","2601787","2601787","2601787"
"263","1314","1314","1314","2603657","2603657","2603657"
"264","1319","1319","1319","2629217","2629217","2629217"
"265","1324","1324","1324","2638397","2638397","2638397"
"266","1329","1329","1329","2652655","2652655","2652655"
"267","1334","1334","1334","2655119","2655119","2655119"
"268","1339","1339","1339","2671839","2671839","2671839"
"269","1344","1344","1344","2685361","2685361","2685361"
"270","1349","1349","1349","2694251","2694251","2694251"
"271","1354","1354","1354","2701523","2701523","2701523"
"272","1359","1359","1359","2717897","2717897","2717897"
"273","1364","1364","1364","2719873","2719873","2719873"
"274","1369","1369","1369","2729170","2729170","2729170"
"275","1374","1374","1374","2745901","2745901","2745901"
"276","1379","1379","1379","2748134","2748134","2748134"
"277","1384","1384","1384","2750422","2750422","2750422"
"278","1389","1389","1389","2752906","2752906","2752906"
"279","1394","1394","1394","2754837","2754837","2754837"
"280","1399","1399","1399","2757334","2757334","2757334"
"281","1404","1404","1404","2766452","2766452","2766452"
"282","1409","1409","1409","2768689","2768689","2768689"
"283","1414","1414","1414","2783922","2783922","2783922"
"284","1419","1419","1419","2798080","2798080","2798080"
"285","1424","1424","1424","2800494","2800494","2800494"
"286","1429","1429","1429","2802854","2802854","2802854"
"287","1434","1434","1434","2820323","2820323","2820323"
"288","1439","1439","1439","2827877","2827877","2827877"
"289","1444","1444","1444","2829803","2829803","2829803"
"290","1449","1449","1449","2832054","2832054","2832054"
"291","1454","1454","1454","2857534","2857534","2857534"
"292","1459","1459","1459","2878646","2878646","2878646"
"293","1464","1464","1464","2880972","2880972","2880972"
"294","1469","1469","1469","2883188","2883188","2883188"
"295","1474","1474","1474","2891946","2891946","2891946"
"296","1479","1479","1479","2893840","2893840","2893840"
"297","1484","1484","1484","2908144","2908144","2908144"
"298","1489","1489","1489","2915152","2915152","2915152"
"299","1494","1494","1494","2934167","2934167","2934167"
"300","1499","1499","1499","2951133","2951133","2951133"
"301","1504","1504","1504","2953352","2953352","2953352"
"302","1509","1509","1509","2970136","2970136","2970136"
"303","1514","1514","1514","2988770","2988770","2988770"
"304","1519","1519","1519","3003062","3003062","3003062"
