"Relative Time (Process)","qwen3vl_sft_full_bs64_es50_p4 - system/gpu.0.gpu","qwen3vl_sft_full_bs64_es50_p4 - system/gpu.0.gpu__MIN","qwen3vl_sft_full_bs64_es50_p4 - system/gpu.0.gpu__MAX"
"16.203671464","0","0","0"
"31.183220372","0","0","0"
"46.183150751","0","0","0"
"61.183593089","0","0","0"
"76.182955355","0","0","0"
"91.182911576","0","0","0"
"106.182895857","0","0","0"
"121.183430487","100","100","100"
"136.183636534","100","100","100"
"151.184552425","100","100","100"
"166.183252815","100","100","100"
"181.183649156","100","100","100"
"196.182931738","100","100","100"
"211.183630727","100","100","100"
"226.183637579","100","100","100"
"241.18312791","100","100","100"
"256.183481562","98","98","98"
"271.183206295","100","100","100"
"286.18293034","100","100","100"
"301.182886482","100","100","100"
"316.185049411","0","0","0"
"331.183715004","100","100","100"
"346.183805525","70","70","70"
"361.183172901","96","96","96"
"376.183737812","8","8","8"
"391.183796869","98","98","98"
"406.183659167","100","100","100"
"421.18293009","100","100","100"
"436.183392683","100","100","100"
"451.183125462","76","76","76"
"466.182958969","2","2","2"
"481.183819516","100","100","100"
"496.184499154","100","100","100"
"511.183281691","100","100","100"
"526.183118286","100","100","100"
"541.183760133","100","100","100"
"556.184829317","100","100","100"
"571.183779419","89","89","89"
"586.183146896","100","100","100"
"601.183498915","0","0","0"
"616.184831175","100","100","100"
"631.183398209","76","76","76"
"646.184661849","100","100","100"
"661.18343158","100","100","100"
"676.182833656","0","0","0"
"691.183281332","100","100","100"
"706.183420741","100","100","100"
"721.183504475","100","100","100"
"736.18361722","100","100","100"
"751.183843194","98","98","98"
"766.182964321","100","100","100"
"781.18298167","100","100","100"
"796.183644683","100","100","100"
"811.184930242","100","100","100"
"826.18476812","0","0","0"
"841.18293609","2","2","2"
"856.184421897","100","100","100"
"871.184275889","35","35","35"
"886.182791733","100","100","100"
"901.184237928","100","100","100"
"916.183776496","100","100","100"
"931.184584093","100","100","100"
"946.184555177","100","100","100"
"961.183012515","100","100","100"
"976.183192576","100","100","100"
"991.183031909","94","94","94"
"1006.183262479","100","100","100"
"1021.184205703","100","100","100"
"1036.18431438","100","100","100"
"1051.184132241","100","100","100"
"1066.184750805","100","100","100"
"1081.184672305","72","72","72"
"1096.183285654","100","100","100"
"1111.184663722","100","100","100"
"1126.183176364","100","100","100"
"1141.185065988","100","100","100"
"1156.183770248","0","0","0"
"1171.182881019","100","100","100"
"1186.182910862","2","2","2"
"1201.183360882","9","9","9"
"1216.183319995","100","100","100"
"1231.183578796","100","100","100"
"1246.183309272","0","0","0"
"1261.183812411","77","77","77"
"1276.182930937","100","100","100"
"1291.185199342","100","100","100"
"1306.182920025","100","100","100"
"1321.184744543","100","100","100"
"1336.183568837","100","100","100"
"1351.182913217","68","68","68"
"1366.183165819","100","100","100"
"1381.18352288","100","100","100"
"1396.184466875","100","100","100"
"1411.183830795","100","100","100"
"1426.184423733","100","100","100"
"1441.184743313","100","100","100"
"1456.18358341","100","100","100"
"1471.183316689","62","62","62"
"1486.183263231","100","100","100"
"1501.185015254","0","0","0"
"1516.183255547","2","2","2"
"1531.183356204","0","0","0"
"1546.183289588","100","100","100"
"1561.184736172","100","100","100"
"1576.184933856","100","100","100"
"1591.184219657","100","100","100"
"1606.18385644","98","98","98"
"1621.18302433","100","100","100"
"1636.183227032","100","100","100"
"1651.183151346","100","100","100"
"1666.183654135","100","100","100"
"1681.183762097","100","100","100"
"1696.183106408","28","28","28"
"1711.18467819","100","100","100"
"1726.184932833","100","100","100"
"1741.183563386","0","0","0"
"1756.184733679","37","37","37"
"1771.192934311","100","100","100"
"1786.183534697","100","100","100"
"1801.182885971","0","0","0"
"1816.182901413","100","100","100"
"1831.183082654","100","100","100"
"1846.184750492","0","0","0"
"1861.183761092","98","98","98"
"1876.184132329","2","2","2"
"1891.184585279","76","76","76"
"1906.184618292","99","99","99"
"1921.183400216","100","100","100"
"1936.183727057","100","100","100"
"1951.184510005","100","100","100"
"1966.183616561","100","100","100"
"1981.184213534","100","100","100"
"1996.184201461","100","100","100"
"2011.183273173","100","100","100"
"2026.184459098","100","100","100"
"2041.183414511","21","21","21"
"2056.185106251","100","100","100"
"2071.183775692","100","100","100"
"2086.183730804","0","0","0"
"2101.183552731","96","96","96"
"2116.182908743","74","74","74"
"2131.183805628","96","96","96"
"2146.182992891","100","100","100"
"2161.183519612","100","100","100"
"2176.183482108","100","100","100"
"2191.182964435","100","100","100"
"2206.183426124","78","78","78"
"2221.183926092","2","2","2"
"2236.184216272","2","2","2"
"2251.183610519","100","100","100"
"2266.183774577","100","100","100"
"2281.18362396","100","100","100"
"2296.183814871","100","100","100"
"2311.183331457","0","0","0"
"2326.184402928","100","100","100"
"2341.182886914","98","98","98"
"2356.184528714","100","100","100"
"2371.183384578","100","100","100"
"2386.182900013","100","100","100"
"2401.182956946","69","69","69"
"2416.182898421","100","100","100"
"2431.183008474","100","100","100"
"2446.183329925","100","100","100"
"2461.183829068","100","100","100"
"2476.183540246","100","100","100"
"2491.183256493","89","89","89"
"2506.183334328","100","100","100"
"2521.184738925","100","100","100"
"2536.182879067","100","100","100"
"2551.183025701","100","100","100"
"2566.184543724","98","98","98"
"2581.184534414","0","0","0"
"2596.185388288","1","1","1"
"2611.18284319","100","100","100"
"2626.184487617","14","14","14"
"2641.184928573","100","100","100"
"2656.184216605","100","100","100"
"2671.18310917","100","100","100"
"2686.183215065","100","100","100"
"2701.18343596","100","100","100"
"2716.183295787","100","100","100"
"2731.18360237","100","100","100"
"2746.184062842","100","100","100"
"2761.183109096","100","100","100"
"2776.183114992","75","75","75"
"2791.183327236","100","100","100"
"2806.183749398","100","100","100"
"2821.184540777","100","100","100"
"2836.184727411","100","100","100"
"2851.184398939","98","98","98"
"2866.183356884","0","0","0"
"2881.184781008","100","100","100"
"2896.184451136","100","100","100"
"2911.182878325","98","98","98"
"2926.184992596","3","3","3"
"2941.182867081","100","100","100"
"2956.183689922","62","62","62"
"2971.183275303","100","100","100"
"2986.183633058","100","100","100"
"3001.183644516","100","100","100"
"3016.183860501","74","74","74"
"3031.185037485","100","100","100"
"3046.183042874","100","100","100"
"3061.183327855","100","100","100"
"3076.185025333","100","100","100"
"3091.184064064","98","98","98"
"3106.184753401","100","100","100"
"3121.182884839","100","100","100"
"3136.182915722","100","100","100"
"3151.184927638","100","100","100"
"3166.182878758","98","98","98"
"3181.184760106","100","100","100"
"3196.184343913","100","100","100"
"3211.182879398","98","98","98"
"3226.182928011","0","0","0"
"3241.182869575","100","100","100"
"3256.183118456","100","100","100"
"3271.183727384","1","1","1"
"3286.184287003","100","100","100"
"3301.184178393","100","100","100"
"3316.184520331","73","73","73"
"3331.183490121","100","100","100"
"3346.237959638","100","100","100"
"3361.183088426","100","100","100"
"3376.183697083","100","100","100"
